device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M1,0.4,2.0,-0.3,7.0299E-09,2.12963E-07,3.01103E-09,2.11236E-08,0.754772,0.045789,3.25153E-16,-1.79691E-16,1.86995E-22,-7.16072E-18,-1.0739E-17
M2,0.4,2.0,-0.3,1.75779E-10,5.56373E-09,3.71448E-11,1.13923E-09,0.78172,0.0450275,3.96298E-16,-3.80673E-17,9.81501E-20,-3.08943E-18,-4.63336E-18
M1,0.4,2.0,0.0,1.01233E-07,2.66971E-06,1.22711E-07,1.77425E-06,0.66517,0.0448138,4.47706E-16,-4.38108E-16,7.57537E-18,-7.70219E-17,-1.15512E-16
M2,0.4,2.0,0.0,1.43085E-09,4.30639E-08,2.79322E-10,1.07747E-08,0.718541,0.0437012,4.87173E-16,-9.85259E-17,2.1643E-19,-9.94565E-18,-1.49159E-17
M1,0.4,2.0,0.3,6.76798E-06,0.000100942,1.38154E-05,7.23822E-05,0.464704,0.0570619,6.2609E-16,-6.80232E-16,4.02899E-17,-1.3139E-16,-1.97042E-16
M2,0.4,2.0,0.3,1.6349E-08,4.39136E-07,2.87349E-09,1.42508E-07,0.638153,0.0419086,6.85837E-16,-2.81052E-16,5.03984E-19,-3.7073E-17,-5.55995E-17
M1,0.6,0.05,-0.3,2.18336E-07,4.47497E-06,1.73716E-06,4.23329E-07,0.754786,0.0488108,6.16346E-16,-3.39856E-16,-1.6238E-16,-2.3832E-17,-2.64725E-17
M2,0.6,0.05,-0.3,3.35051E-08,8.57776E-07,2.14924E-07,1.69709E-07,0.787872,0.0460525,7.55881E-16,-4.44873E-16,-4.73738E-17,-4.29018E-17,-5.52869E-17
M1,0.6,0.05,0.0,4.31142E-07,8.19032E-06,3.7561E-06,1.157E-06,0.722196,0.0503567,6.53622E-16,-3.65643E-16,-1.74464E-16,-3.82756E-17,-4.17686E-17
M2,0.6,0.05,0.0,1.57983E-07,3.44344E-06,1.06447E-06,8.35995E-07,0.723986,0.0480946,1.03041E-15,-6.7805E-16,-1.23405E-16,-8.93009E-17,-1.07713E-16
M1,0.6,0.05,0.3,1.05992E-06,1.8121E-05,1.13528E-05,3.55952E-06,0.675414,0.0555077,6.95402E-16,-4.03909E-16,-1.68252E-16,-5.72799E-17,-6.16825E-17
M2,0.6,0.05,0.3,8.14963E-07,1.44073E-05,7.0144E-06,4.58634E-06,0.64289,0.0595715,1.30535E-15,-8.45678E-16,-2.83816E-16,-1.76289E-16,-1.93729E-16
M1,0.6,0.2,-0.3,3.27741E-07,6.72088E-06,5.30611E-07,6.32237E-07,0.754785,0.0488108,5.56819E-16,-4.31837E-16,-6.2954E-18,-1.62788E-17,-2.34577E-17
M2,0.6,0.2,-0.3,4.12312E-08,1.05819E-06,2.03468E-08,2.08639E-07,0.787399,0.0460643,7.31875E-16,-4.62845E-16,-4.60675E-19,-3.58884E-17,-5.29397E-17
M1,0.6,0.2,0.0,7.02964E-07,1.32828E-05,1.49685E-06,2.40324E-06,0.71781,0.0507993,5.90524E-16,-4.8913E-16,3.35537E-18,-3.31124E-17,-4.73987E-17
M2,0.6,0.2,0.0,1.95366E-07,4.31956E-06,9.23527E-08,1.04394E-06,0.723567,0.0481319,9.70071E-16,-7.23879E-16,-2.37126E-18,-6.81175E-17,-9.99479E-17
M1,0.6,0.2,0.3,2.11321E-06,3.56903E-05,6.96665E-06,8.36992E-06,0.659206,0.0587214,6.31563E-16,-5.44227E-16,3.08135E-17,-4.67225E-17,-6.57953E-17
M2,0.6,0.2,0.3,1.05507E-06,1.98924E-05,4.85605E-07,6.27263E-06,0.642526,0.0596667,1.18219E-15,-9.58718E-16,-8.52583E-18,-1.17714E-16,-1.70522E-16
M1,0.6,0.5,-0.3,4.77409E-07,9.66654E-06,4.86258E-07,9.0865E-07,0.754783,0.0488109,5.52508E-16,-4.33102E-16,-3.14063E-19,-1.55711E-17,-2.3247E-17
M2,0.6,0.5,-0.3,4.58404E-08,1.17349E-06,1.29967E-08,2.30909E-07,0.786452,0.0460882,7.33099E-16,-4.6566E-16,1.09661E-18,-3.54977E-17,-5.30963E-17
M1,0.6,0.5,0.0,1.19103E-06,2.15876E-05,1.80649E-06,5.65072E-06,0.709037,0.0517712,5.90759E-16,-5.29263E-16,1.15743E-17,-4.5961E-17,-6.86082E-17
M2,0.6,0.5,0.0,2.15633E-07,4.75245E-06,5.56729E-08,1.14668E-06,0.722729,0.0482072,9.68452E-16,-7.25256E-16,1.35862E-18,-6.67158E-17,-9.97463E-17
M1,0.6,0.5,0.3,4.93777E-06,7.456E-05,1.23347E-05,2.33659E-05,0.626789,0.066925,6.36963E-16,-5.91832E-16,4.41317E-17,-5.986E-17,-8.92281E-17
